ID,Name,Rectangle,Image
ad-1-2/1/6,大,"rect:x=1802,y=1529,w=92,h=128",ad-1-2.jpg
ad-1-2/1/14,入,"rect:x=1630,y=770,w=87,h=108",ad-1-2.jpg
ad-1-2/2/12,之,"rect:x=730,y=353,w=87,h=65",ad-1-2.jpg
ad-1-2/2/16,之,"rect:x=730,y=971,w=116,h=92",ad-1-2.jpg
ad-1-2/2/28,而,"rect:x=569,y=917,w=98,h=138",ad-1-2.jpg
ad-1-2/1/2,莊,"rect:x=1790,y=715,w=104,h=144",ad-1-2.jpg
ad-1-2/1/17,昔,"rect:x=1624,y=1397,w=107,h=104",ad-1-2.jpg
ad-1-2/1/19,室,"rect:x=1619,y=1704,w=113,h=151",ad-1-2.jpg
ad-1-2/1/35,澤,"rect:x=1273,y=340,w=103,h=158",ad-1-2.jpg
ad-1-2/1/32,非,"rect:x=1435,y=2001,w=111,h=118",ad-1-2.jpg
ad-1-2/1/33,山,"rect:x=1438,y=2199,w=100,h=146",ad-1-2.jpg
ad-1-2/1/24,東,"rect:x=1440,y=373,w=106,h=137",ad-1-2.jpg
ad-1-2/1/27,百,"rect:x=1435,y=945,w=105,h=154",ad-1-2.jpg
ad-1-2/1/26,七,"rect:x=1443,y=794,w=95,h=113",ad-1-2.jpg
ad-1-2/1/38,不,"rect:x=1262,y=931,w=106,h=160",ad-1-2.jpg
ad-1-2/2/7,愈,"rect:x=907,y=1938,w=115,h=134",ad-1-2.jpg
ad-1-2/2/9,君,"rect:x=924,y=2295,w=89,h=107",ad-1-2.jpg
ad-1-2/2/15,堯,"rect:x=730,y=792,w=102,h=119",ad-1-2.jpg
ad-1-2/2/21,於,"rect:x=726,y=2145,w=122,h=100",ad-1-2.jpg
ad-1-2/2/37,美,"rect:x=382,y=354,w=115,h=121",ad-1-2.jpg
ad-1-2/1/11,矣,"rect:x=1798,y=2573,w=116,h=119",ad-1-2.jpg
ad-1-2/1/10,成,"rect:x=1802,y=2380,w=100,h=162",ad-1-2.jpg
ad-1-2/1/5,為,"rect:x=1794,y=1330,w=110,h=130",ad-1-2.jpg
ad-1-2/1/12,曹,"rect:x=1628,y=338,w=99,h=134",ad-1-2.jpg
ad-1-2/1/18,周,"rect:x=1622,y=1552,w=121,h=121",ad-1-2.jpg
ad-1-2/1/22,魯,"rect:x=1611,y=2303,w=132,h=154",ad-1-2.jpg
ad-1-2/1/25,西,"rect:x=1438,y=591,w=105,h=122",ad-1-2.jpg
ad-1-2/1/8,型,"rect:x=1792,y=1960,w=112,h=136",ad-1-2.jpg
ad-1-2/1/34,非,"rect:x=1435,y=2418,w=100,h=127",ad-1-2.jpg
ad-1-2/2/1,今,"rect:x=920,y=729,w=104,h=113",ad-1-2.jpg
ad-1-2/2/3,彌,"rect:x=923,y=1120,w=92,h=151",ad-1-2.jpg
ad-1-2/2/17,饗,"rect:x=728,y=1182,w=110,h=124",ad-1-2.jpg
ad-1-2/2/27,鉶,"rect:x=571,y=715,w=96,h=131",ad-1-2.jpg
ad-1-2/2/34,不,"rect:x=572,y=2192,w=99,h=154",ad-1-2.jpg
ad-1-2/2/29,撫,"rect:x=574,y=1098,w=99,h=104",ad-1-2.jpg
ad-1-2/1/3,公,"rect:x=1790,y=920,w=126,h=120",ad-1-2.jpg
ad-1-2/1/28,南,"rect:x=1435,y=1191,w=113,h=140",ad-1-2.jpg
ad-1-2/1/36,無,"rect:x=1273,y=549,w=100,h=133",ad-1-2.jpg
ad-1-2/2/11,圖,"rect:x=920,y=2673,w=90,h=193",ad-1-2.jpg
ad-1-2/2/6,鍾,"rect:x=920,y=1740,w=96,h=114",ad-1-2.jpg
ad-1-2/2/2,封,"rect:x=923,y=921,w=97,h=122",ad-1-2.jpg
ad-1-2/1/21,封,"rect:x=1621,y=2103,w=111,h=122",ad-1-2.jpg
ad-1-2/2/5,而,"rect:x=911,y=1496,w=110,h=112",ad-1-2.jpg
ad-1-2/2/18,舜,"rect:x=736,y=1390,w=106,h=133",ad-1-2.jpg
ad-1-2/2/26,土,"rect:x=563,y=524,w=110,h=97",ad-1-2.jpg
ad-1-2/2/25,於,"rect:x=567,y=343,w=98,h=95",ad-1-2.jpg
ad-1-2/2/19,也,"rect:x=746,y=1585,w=92,h=130",ad-1-2.jpg
ad-1-2/2/23,簋,"rect:x=732,y=2510,w=129,h=112",ad-1-2.jpg
ad-1-2/2/24,欼,"rect:x=744,y=2718,w=102,h=123",ad-1-2.jpg
ad-1-2/2/32,下,"rect:x=572,y=1781,w=104,h=123",ad-1-2.jpg
ad-1-2/2/33,此,"rect:x=572,y=2023,w=101,h=104",ad-1-2.jpg
ad-1-2/2/35,貧,"rect:x=569,y=2442,w=111,h=162",ad-1-2.jpg
ad-1-2/1/1,魯,"rect:x=1797,y=455,w=99,h=179",ad-1-2.jpg
ad-1-2/1/9,既,"rect:x=1806,y=2171,w=90,h=136",ad-1-2.jpg
ad-1-2/1/4,將,"rect:x=1790,y=1119,w=112,h=128",ad-1-2.jpg
ad-1-2/1/16,曰,"rect:x=1614,y=1182,w=121,h=114",ad-1-2.jpg
ad-1-2/1/15,見,"rect:x=1626,y=947,w=89,h=156",ad-1-2.jpg
ad-1-2/1/13,沫,"rect:x=1620,y=563,w=113,h=136",ad-1-2.jpg
ad-1-2/1/20,之,"rect:x=1629,y=1906,w=95,h=141",ad-1-2.jpg
ad-1-2/1/31,百,"rect:x=1438,y=1785,w=108,h=132",ad-1-2.jpg
ad-1-2/1/23,也,"rect:x=1611,y=2549,w=129,h=135",ad-1-2.jpg
ad-1-2/1/29,北,"rect:x=1435,y=1401,w=111,h=143",ad-1-2.jpg
ad-1-2/1/30,五,"rect:x=1435,y=1590,w=116,h=135",ad-1-2.jpg
ad-1-2/1/37,有,"rect:x=1273,y=752,w=103,h=141",ad-1-2.jpg
ad-1-2/2/8,大,"rect:x=919,y=2147,w=97,h=95",ad-1-2.jpg
ad-1-2/2/10,其,"rect:x=922,y=2469,w=92,h=104",ad-1-2.jpg
ad-1-2/2/14,昔,"rect:x=723,y=551,w=115,h=106",ad-1-2.jpg
ad-1-2/2/4,小,"rect:x=909,y=1324,w=126,h=141",ad-1-2.jpg
ad-1-2/2/20,飯,"rect:x=738,y=1923,w=106,h=139",ad-1-2.jpg
ad-1-2/2/22,土,"rect:x=736,y=2341,w=119,h=86",ad-1-2.jpg
ad-1-2/2/13,也,"rect:x=767,y=419,w=72,h=69",ad-1-2.jpg
